cluster	topic	roleset	prop name	prop rol desc	arg0	arg1	argL	argT	example
guard | uphold | support	43	defend.01	defend	0: defender | 1: defended	Intel	microprocessor market			AMD's Acquisition of SeaMicro Puts Intel on the <m> Defensive </m>
guard | uphold | support	36	defend.01	defend	0: defender | 1: defended	Warren Jeffs	polygamy	Texas	07	Warren Jeffs Trial : <m> Defends </m> 'Spiritual' Marriage , Polygamy
lack | miss | absent	43	deficit.01	lacking	1: deficient entity		AMD			Addressing a <m> deficiency </m> of its own and further upping the competitive tension between it and chief rival Intel ( nasdaq : INTC - news - people ) , Advanced Micro Devices ( nyse : AMD - news - people ) intends to acquire graphics chipmaker ATI Technologies ( nasdaq : ATYT - news - people ) in a $ 5.4 billion deal .
consider | think | judge	45	deliberate.01	think about, as a judge	0: thinker | 1: thought, thing deliberated on; usually: on/upon/about	jury	Christopher Kenyon Simpson case	Oklahoma	26 September 2013	The jury <m> deliberated </m> almost seven hours Thursday before convicting 27 - year - old Christopher Kenyon Simpson in the death of 20 - year - old Ka'loni Flynn of Fort Smith , Ark .
give | send | carry	43	deliver.01	give, send	0: sender | 1: sent	AMD	server technology			AMD to Acquire SeaMicro : Accelerates Disruptive Server <m> Strategy </m>
give | send | carry	41	deliver.01	give, send	0: sender | 1: sent	UN	aid	Yida	11	Four bombs were dropped within just a few moments - two landed inside the camp itself , while the other two bombs were dropped near the airstrip where a UN helicopter was <m> delivering </m> much needed food aid .
give | send | carry	40	deliver.01	give, send	0: sender | 1: sent	battery	use	NA	01	Apple Inc on Tuesday ( Jan 6 ) introduced what it claims to be the world 's thinnest and lightest 17-inch laptop with a new unibody aluminium enclosure and a built-in battery said to <m> deliver </m> up to eight hours of use and a lifespan three times longer than conventional laptop batteries .
demur | turn_down | reject	41	deny.01	turn down, reject	0: denier | 1: thing denied	Sudan	strike.01	South Sudan	11	Sudan has <m> denied </m> striking South Sudanese territory .
name | detail | express	43	describe.01	assign a label or attribute	0: describer | 1: thing described	chairman and chief executive of AMD Hector Ruiz	acquire.01			Advanced Micro Devices ( AMD ) Chief Executive Hector Ruiz waxed metaphorical as he <m> described </m> his company 's acquisition of ATI Technologies ( ATYT ) .
merit | warrant | earn	45	deserve.01	deserve	0: deserving entity (entity who is owed) | 1: thing deserved	Scott Peterson	die.01			Scott Peterson has been found guilty of first-degree murder , a verdict that means he could be executed if these same jurors vote as the `` conscience of their community '' that he <m> deserves </m> to die for his crimes .
create | make | build	44	design.01	design	0: designer | 1: thing designed	EYP Mission Critical Facilities	Technology	NA	11	Electronics manufacturer Hewlett - Packard ( hp . com ) announced on Tuesday that it has signed a definitive agreement to acquire EYP Mission Critical Facilities ( eypmcf . com ) , a consulting company that specializes in strategic technology planning , <m> design </m> and operations support for large - scale data centers .
obliterate | smash | demolish	37	destroy.01	destroy	0: destroyer | 1: thing destroyed	earthquake.02	buildings	Sumatra's Aceh	07	At least 50 reported injured and buildings <m> destroyed </m> after a 6 . 1 magnitude earthquake strikes Sumatra's Aceh province .
wreck | obliterate | ruin	41	destroy.01	destroy	0: destroyer | 1: thing destroyed	Israel	image	NA	NA	Pressure to obtain a ceasefire in Gaza has been mounting , with the EU warning Israel it was `` <m> destroying </m> '' its image , while Israeli forces on Tuesday ( 6 January ) killed at least 40 people during an attack on a United Nations-run school in Gaza .
usurp | seize | take_over 	43	dethrone.01	get rid of a king	0: usurper, revolutionary force, agent | 1: king	AMD	Intel			The imminent purchase of ATI , analysts say , is the most vital element in AMD 's concerted campaign to <m> dethrone </m> the mighty Intel Corp .
destroy | demolish | obliterate	37	devastate.01	destroy	0: destroyer | 1: thing destroyed	earthquake.02	region	Indonesia's Aceh	07	The strong 6 . 1 - magnitude quake left hundreds more injured as it rocked a region that was <m> devastated </m> by the quake - triggered tsunami of 2004 .
make | create | build	43	develop.02	create, having been intentionally grown, built up	0: creator | 1: thing created	SeaMicro	dense servers			AMD is paying US$334 million for SeaMicro , which until now was in a tight partnership with Intel to <m> develop </m> dense servers .
kill | dead | depart	45	die.01	sterben	1: the deceased		Ka'loni Flynn		8 April 2012	The jury deliberated almost seven hours Thursday before convicting 27 - year - old Christopher Kenyon Simpson in the <m> death </m> of 20 - year - old Ka'loni Flynn , of Fort Smith , Ark .
kill | dead | depart	41	die.01	sterben	1: the deceased	refugees	NA	South Sudan	11	A government official initially reported <m> deaths </m> , but an American activist who spoke to aid workers at the camp later said there were no casualties .
challenge | hard | tough	44	difficult.01	challenging	1: challenging thing		integrate.01			Industry analysts contacted by eWEEK generally say they believe that Hewlett-Packard 's forthcoming $ 13.9 billion acquisition of Electronic Data Systems ? announced officially on May 13 is a good move for both companies , although there will be the usual integration <m> snafus </m> over vendor neutrality issues , business lines , culture shock and layoffs .
miss | absent | vanish	45	disappear.01	no longer be there	0: causal agent | 1: the disappeared	Scott Peterson	Laci Peterson	Modesto, CA	24 December 2002	Laci <m> disappeared </m> from the couple 's home in Modesto , California , 23 months ago .
earthquake | flood | tsunami	37	disaster.01	catastrophe	1: nature of the disaster	tsunami.01	country	NA	NA	A series of earthquakes killed a 10-year-old girl and injured dozens Sunday in remote eastern Indonesia and briefly triggered fears of another tsunami in a country still recovering from such a <m> disaster </m> in 2004 .
say | state | report	44	disclose.01	say	0: Sayer | 1: Utterance	HP	pay.01			That company , which provides data center consulting services , will become a division of HP for an <m> undisclosed </m> sum , according to sources .
talk | meet | confer	44	discuss.01	talk about	0: discussant | 1: topic	HP	transact.01			In response to market rumors , Electronic Data Systems Corporation announces that it is in advanced <m> discussions </m> regarding a possible business combination transaction with Hewlett-Packard Company .
talk | meet | confer	41	discuss.01	talk about	0: discussant | 1: topic	UN Security Council	crisis.01	NA	NA	An Israeli mortar strike that killed about 40 Palestinians sheltering in a UN school Tuesday brought new urgency to diplomatic efforts to end Israel 's military onslaught in the Gaza Strip , as the UN Security Council met to <m> discuss </m> the crisis .
argue | fight | object	41	dispute.01	argue	0: first (or all) arguer(s) | 1: second arguer	UN	NA	NA	NA	THE UN has <m> disputed </m> claims that Hamas militants fired mortars from the Gaza school that has suffered the deadliest attack of the war with Israel .
interrupt | stop | derail	43	disrupt.01	to interrupt, throw into disorder	0: disrupter, agent | 1: entity disrupted	move.02	Intel			Advanced Micro Devices announced Wednesday it is buying low - power server vendor SeaMicro , a surprise move that puts AMD in the systems business and <m> disrupts </m> Intel by acquiring one of its close partners .
work | operate | run	43	do_business.01	name	0: first or all business-doers | 1: business domain	AMD	servers			AMD Buys SeaMicro , Enters Server Hardware <m> Business </m>
give | contribute | hand_out	45	donate.01	give,	0: giver | 1: thing given	dozens of people	blood	Modesto, CA		Dozens of people in Laci Peterson 's hometown who were <m> donating </m> blood in her memory applauded when they heard a jury 's decision to execute Scott Peterson for the murder of his pregnant wife
discount | disbelieve | unsure	41	doubt.01	doubt, disbelieve	0: disbeliever | 1: disbelief	we	use.01	Hamas	NA	SEVENTEEN hours after the attack on one of his schools killed 40 Palestinians seeking shelter from Israel 's war on Hamas , the United Nations ' director of operations in Gaza , John Ging , was certain of at least one thing `` We have established beyond any <m> doubt </m> that the school was not being used by any militants , '' Mr Ging told The Age last night .
worsen | demote | lower	43	downgrade.02	worsen	0: causer of worsening, agent | 1: thing worsening	RBC Capital Markets	evaluate.01			RBC Capital Markets <m> downgraded </m> ATI Technologies to `` sector perform '' from `` outperform '' after Advanced Micro Devices announced its intention to buy the Canadian graphics chip-maker for $ 5.4 billion on Monday .
lower | lessen | demote	43	downplay.01	make to appear to be lesser	0: downplayer, agent | 1: thing which is being downplayed	ATI senior vice-president for consumer products Adrian Hartog	lay_off.02			Hartog said the purchase of ATI by AMD will involve ' some changes ' but he <m> downplayed </m> any potential lay-offs from among the company 's more than 3,000 employees .
accumulate | pull | extract	41	draw.02	pull, extract, withdraw	0: puller | 1: thing pulled	bomb.01	condemn.01	Jabaliya	01	The bombing has <m> drawn </m> international condemnation , with the EU calling it `` completely unacceptable . ''
fall | cause | release	41	drop.01	go down, cause to fall	0: entity doing the dropping | 1: Logical subject, patient, thing falling	bomber	bombs	Yida	11	Nevertheless , on Thursday afternoon an Antonov bomber <m> dropped </m> four bombs on the South Sudanese area of Yida , hitting a refugee camp of roughly 21 , 000 people , some of them northern Sudanese who had crossed the border since the rebellion in Sudan began .
tsunami | flood | disaster	37	earthquake.02	natural disaster: earthquake	1: ground shaken (plates, region, epicenter)	NA	6.1-magnitude	Indonesia's Aceh	07	A strong <m> earthquake </m> struck off Indonesia's Aceh province on Tuesday , damaging houses and injuring at least five people .
flood | landslide | disaster	38	earthquake.02	natural disaster: earthquake	1: ground shaken (plates, region, epicenter)		The Geysers, CA	The Geysers, CA	9:30	An <m> earthquake </m> with a preliminary magnitude of 4.4 struck in Sonoma County this morning near The Geysers , according to the U.S. Geological Survey .
structure | effort | logical	44	efficient.01	done without wasting time/effort	1: efficient entity		data centers			Hewlett - Packard on Monday said it has agreed to buy EYP Mission Critical Facilities , a consulting company that specializes in data center cooling and <m> energy efficiency </m> .
attempt | try | endeavor	44	effort.01	attempt	0: Agent/Entity Trying | 1: thing tried	HP	support.01			As part of its <m> efforts </m> to support energy - efficient computing , HP Monday announced it has signed an agreement to acquire facilities consulting firm EYP Mission Critical Facilities for an undisclosed sum .
raise | lift | hoist	44	elevate.01	to raise or lift	0: causer of upward motion, agent | 1: entity elevated	deal.01	HP			The impending deal would make the newly merged company worth about $ 22 billion and <m> put it on a level </m> with IBM , the largest IT services company in the world .
show | display | express	45	emote.01	express emotion	0: expresser	Scott Peterson				Upon learning of his death sentence , Scott Peterson sat defiantly still and tight-jawed , the same vacant expression he <m> wore </m> throughout a murder trial in which he never spoke .
feel | emote | sense	45	emotional.02	having strong emotions	0: thing exhibiting emotion	Scott Peterson				Peterson , a 32-year-old fertilizer salesman from Modesto , showed no <m> emotion </m> , staring stonily at the jury box as the foreman announced a finding of first-degree murder in the death of Laci and second-degree murder in the death of their near-term son , whom the couple had named Conner .
stop | close | conclude	43	end.01	cause to stop, coming to a close	0: Agent/cause of ending | 1: Thing ending	AMD	speculate.01			Chipmaker AMD , hoping to gain a leg up on a resurgent rival Intel ( INTC ) , on July 24 <m> ended </m> months of speculation by saying it would buy graphics chipmaker ATI for about $ 5.4 billion .
stop | close | conclude	41	end.01	cause to stop, coming to a close	0: Agent/cause of ending | 1: Thing ending	UN	onslaught.01	Gaza	NA	An Israeli mortar strike that killed about 40 Palestinians sheltering in a UN school Tuesday brought new urgency to diplomatic efforts to <m> end </m> Israel 's military onslaught in the Gaza Strip , as the UN Security Council met to discuss the crisis .
engross | attract | absorb	36	engage.01	cause to get involved, involvement	0: causer of engagement | 1: entity sucked in	Warren Jeffs	12-year-old	Texas	08	Prosecutors also played an audio recording of Jeffs allegedly <m> engaging in sexual intercourse </m> with the 12 - year - old .
build | contract | design	44	engineer.01	make, devise, with some difficulty, planning technically	0: engineer | 1: engineered	EYP	data centers			Hewlett - Packard agreed to buy EYP Mission Critical Facilities , a data center <m> engineering </m> firm , for an undisclosed sum in a deal that will provide an exit for TA Associates .
entrance | absorb | engage	45	engross.01	entrance	0: Engrosser | 1: Engrossed	case.03	US public			The case first captured the nation 's attention when Laci Peterson disappeared from her Modesto home the day before Christmas 2002 and has <m> engrossed </m> the country ever since .
start | introduce | kick_off	43	enter.01	enter, go in	0: entity entering | 1: place or thing entered	AMD	do_business.01			AMD Buys SeaMicro , <m> Enters </m> Server Hardware Business
identical | similar | alike	43	equalize.03	make equal	0: agent, equalizer | 1: equalized	merge.01	AMD			`` You wo n't see it tomorrow , but the merger will potentially <m> put AMD on a more equal footing with </m> Intel , '' said Michelle Warren , an analyst with Evans Research in Toronto .
spew | explode | blow	38	erupt.01	(cause to) spew forth, spewing forth	1: thing erupting	earthquake.02	NA	Santa Rosa	03	A California earthquake today 2013 has <m> erupted </m> outside Santa Rosa .
start | begin | set_up	41	establish.01	establish, setting up	0: agent, setter | 1: thing set	Mr Ging	use.01	Hamas	NA	SEVENTEEN hours after the attack on one of his schools killed 40 Palestinians seeking shelter from Israel 's war on Hamas , the United Nations ' director of operations in Gaza , John Ging , was certain of at least one thing `` We have <m> established </m> beyond any doubt that the school was not being used by any militants , '' Mr Ging told The Age last night .
gues | hypothesize | gauge	44	estimate.01	guess	0: estimator | 1: thing estimated	HP	give.01			HP <m> estimates </m> that the deal , when completed , will give it about 7 percent of the technology services market , compared with IBM 's 10 percent share .
get | cause | obtain	41	exact.01	get, obtain	0: receiver, exactor | 1: thing obtained	Gaza	toll	Gaza	NA	Israel 's assault on Gaza has <m> exacted </m> the bloodiest toll of civilian lives yet , when the bombing of UN schools being used as refugee centres and of housing killed more than 50 people , including an entire family of seven young children .
stimulate | arouse | provoke	43	excite.01	make excited, stimulating	0: Stimulus of excitement | 1: excited entity	join.01	AMD			We are <m> excited </m> to have SeaMicro join AMD .
kill | murder | dead	45	execute.01	kill	0: killer | 1: corpse		Scott Peterson			Scott Peterson has been found guilty of first-degree murder , a verdict that means he could be <m> executed </m> if these same jurors vote as the `` conscience of their community '' that he deserves to die for his crimes .
be | happen | occur	43	exist.01	be, exists ('non-existent' has its own frame, fyi)	1: thing existing		AMD			Advanced Micro Devices ( NYSE : AMD ) announced the largest acquisition in its <m> history </m> Monday , paying about $ 5.4 billion to acquire graphics chip specialist ATI Technologies .
be | preexist | live	40	exist.01	be, exists ('non-existent' has its own frame, fyi)	1: thing existing	MacBook Pro	newer Ivy Bridge processors	San Francisco	06	Apple is certainly making WWDC a hardware conference this year - - it just unveiled a refresh of the <m> existing </m> MacBook Pro running Intel's newer Ivy Bridge processors on the San Francisco gathering's opening day .
leave | go | depart	44	exit.01	leave	0: departed entity | 1: place exited	TA Associates	invest.01			Hewlett - Packard agreed to buy EYP Mission Critical Facilities , a data center engineering firm , for an undisclosed sum in a deal that will provide an <m> exit </m> for TA Associates .
leave | go | depart	39	exit.01	leave	0: departed entity | 1: place exited	Matt Smith	Doctor Who	NA	08	Doctor Who has finally selected its 12th doctor : Peter Capaldi is officially set to replace <m> exiting </m> star Matt Smith as the TARDIS leader , producer Steven Moffat announced on the live BBC special Doctor Who Live : The Next Doctor Sunday .
grow | widen | enlarge	45	expand.01	(cause to) grow	0: causer of growth, agent | 1: thing grown	Scott Peterson	affair.01			In essence , the jury concluded that the circumstances surrounding Laci Peterson 's disappearance and death could not reasonably be explained in any other way but that Scott Peterson wanted her dead so he could continue and perhaps <m> expand </m> his secret life with Amber Frey .
grow | widen | enlarge	44	expand.01	(cause to) grow	0: causer of growth, agent | 1: thing grown	acquire.01	offer.01			Hewlett-Packard CEO Mark Hurd believes that the $ 13 billion acquisition of Electronic Data Systems will help <m> build out </m> HP 's enterprise services offerings and `` accelerate '' the company 's reach into new accounts , he said .
grow | widen | enlarge	43	expand.01	(cause to) grow	0: causer of growth, agent | 1: thing grown	AMD	involve.01			The acquisition will let AMD <m> expand </m> its position in the commercial desktop and mobile computing markets , two areas where the company has not had much success .
look_forward | anticipate | await	45	expect.01	look forward to, anticipate, anticipating (not thing antipated), in expectation	0: expecter | 1: thing expected		last.01			The Times Record reported Friday that trial is <m> expected </m> to last several days .
look_forward | anticipate | await	44	expect.01	look forward to, anticipate, anticipating (not thing antipated), in expectation	0: expecter | 1: thing expected		complete.01			Although no financial terms of the transaction were disclosed , it is <m> expected </m> to be completed within HP ’ s first fiscal quarter .
look_forward | anticipate | await	43	expect.01	look forward to, anticipate, anticipating (not thing antipated), in expectation	0: expecter | 1: thing expected		create.01			The merger , meanwhile , is also <m> expected </m> to create an impact on Taiwan 's chipset manufacturers .
describe | justify | show	45	explain.01	explain, descibing, justifying	0: explainer | 1: thing explained	jury	disappear.01			In essence , the jury concluded that the circumstances surrounding Laci Peterson 's disappearance and death could not reasonably be explained <m> in any other way </m> but that Scott Peterson wanted her dead so he could continue and perhaps expand his secret life with Amber Frey .
describe | justify | show	41	explain.01	explain, descibing, justifying	0: explainer | 1: thing explained	Israel	attack.01	Jabaliya	NA	Israel moved quickly to <m> explain </m> the attack on the Jabalya school , saying its forces had been fired on first .
attack | bomb | hit	41	explode.01	go boom	0: bomber, agent/cause | 1: bomb, thing exploding	NA	missiles	Gaza	NA	The civilian death toll in Gaza increased dramatically today , with reports of more than 40 Palestinians killed after missiles <m> exploded </m> outside a UN school where hundreds of people were sheltering from the continuing Israeli offensive .
expand | grow | widen	44	extend.01	(cause to) become longer	0: agent, entity making something be longer | 1: patient, thing getting longer	HP	reach.03			<m> Extending </m> its reach into the ripening green - consulting space , HP today announced the acquisition of EYP Mission Critical Facilities , a consulting company specializing in strategic technology planning , design and operations support for large - scale datacenters .
expel | hand_over | deport	36	extradite.01	expel	0: expeller, agent | 1: entity expelled	Warren Jeffs	Warren Jeffs	Texas	12	Polygamist sect leader Warren Jeffs was quietly <m> extradited </m> from Utah to Texas , where he was arraigned Wednesday to face trial on bigamy and sexual assault charges .
go_through | do | process 	36	face.01	look across at	0: looker, facer | 1: looked at, faced	Warren Jeffs	try.02	Texas	12	Polygamist sect leader Warren Jeffs was quietly extradited from Utah to Texas , where he was arraigned Wednesday to <m> face </m> trial on bigamy and sexual assault charges .
	41	fall.01	move downward	1: Logical subject, patient, thing falling	bombs	NA	South Sudan	11	Two of the bombs <m> fell </m> within the Yida camp , including one close to the school ,  said UNHCR spokesman Adrian Edwards .
mother | parent | bring_up	36	father.01	father children	0: father | 1: child	Warren Jeffs	a child	Texas	07	Jeffs is charged with two counts of sexual assault for raping two under - aged girls and <m> fathering </m> a child with one of the girls .
shock | surprise | panic	37	fear.01	fear, afraid	0: scaredy cat | 1: afraid of	NA	tsunami.01	Indonesia	NA	A series of earthquakes killed a 10-year-old girl and injured dozens Sunday in remote eastern Indonesia and briefly triggered <m> fears </m> of another tsunami in a country still recovering from such a disaster in 2004 .
panic | worry | alarm	41	fear.01	fear, afraid	0: scaredy cat | 1: afraid of	NA	war.01	South Sudan	11	South Sudan Accuses Sudan of Bombing Civilian Camp Amid <m> Fears </m> of War
wager | battle | war	41	fight.01	fight	0: first fighter | 1: second fighter, if separate	Israel	NA	Jabaliya	NA	Doctors in Gaza said more than 40 people died , including children , in what appears to be the biggest single loss of life of the campaign when Israeli bombs hit al-Fakhora school , in Jabaliya refugee camp , while it was packed with hundreds of people who had fled the <m> fighting </m> .
pack | crowd | jam	45	fill.01	to make or become full, containing, up to capacity	0: agent, causer | 1: container	find.02				Unlike on Nov. 12 , when sobs <m> filled </m> the air as Peterson was found guilty of murdering his wife and their unborn child , there was an almost surreal stillness in the courtroom while the death recommendation was announced .
pack | crowd | jam	41	fill.01	to make or become full, containing, up to capacity	0: agent, causer | 1: container	NA	camp	South Sudan	11	Military aircraft from Sudan crossed the new international border with South Sudan and dropped bombs Thursday in and around a camp <m> filled </m> with refugees , officials said .
pay | invest | buy	44	finance.01	provide money for	0: financ(i)er | 1: thing financed	HP	purchase.01			With a market value of about $ 115 billion , HP could easily use its own stock to <m> finance </m> the purchase .
discover | observe | determine	43	find.01	discovery	0: finder | 1: thing found	Intel	positive.02		24 July 2006	Maybe that 's why Intel and Nvidia ( NVDA ) , the companies ' two biggest rivals , <m> found </m> a lot to smile about on July 24 , the day the deal was announced .
discover | observe | determine	45	find.02	adjudge	0: finder | 1: thing found	jury	guilty.01		12 November 2004	The same jury that recommended Peterson 's penalty <m> found </m> him guilty of the first-degree murder of his wife and the second-degree murder of his unborn child .
discover | observe | determine	36	find.02	adjudge	0: finder | 1: thing found	jury	guilty.01	San Antonio	08	A San Antonio jury has <m> found </m> polygamist leader Warren Jeffs guilty on both sexual assault charges on Thursday .
shoot | strike | hit	41	fire.01	fire a gun	0: shooter | 1: gun/projectile	militants	mortars	Gaza	NA	THE UN has disputed claims that Hamas militants <m> fired </m> mortars from the Gaza school that has suffered the deadliest attack of the war with Israel .
hunt | catch | cast	45	fish.01	to catch or try to catch fish, catching fish on a line	0: fisherman, agent | 1: fish	Scott Peterson			24 December 2002	The bodies of Laci and Conner later washed up in the San Francisco Bay , near where Scott told police he had gone <m> fishing </m> the day his wife disappeared .
destroy | demolish | level	37	flatten.01	(cause to) become flat	0: causer of flatness, agent | 1: flat thing	earthquake.02	buildings	Indonesia's Aceh	07	A powerful earthquake in Indonesia's Aceh province <m> flattened </m> buildings and sparked landslides Tuesday , killing at least five people and injuring dozens in a region devastated by the quake - triggered tsunami of 2004 .
run | hurry | leave	41	flee.05	running away	0: entity fleeing | 1: person/place/condition fled from	civilians	conflict.01	South Sudan	11	The UN refugee agency on Friday strongly condemned the aerial bombing of a temporary refugee camp in South Sudan sheltering more than 20 , 000 civilians <m> fleeing </m> from conflict in neighbouring Sudan's Nuba Mountains .
earthquake | tsunami | disaster	37	flood.01	cover with a liquid, to fill with an excess, filling past capacity with liquid	0: causer | 1: location flooded	NA	camps	Papua	NA	THOUSANDS of frightened residents <m> flooded </m> makeshift refugee camps in Indonesia 's West Papua province today after two powerful earthquakes flattened buildings and killed at least one person .
storm | rain | cascade	38	flurry.01	run or series of	1: thing falling, mass	earthquake.02	NA	California	NA	A 4.2 magnitude earthquake shook a remote area of eastern Sonoma County on Sunday morning , the largest in a <m> flurry </m> over the weekend , according to the U.S. Geological Survey .
arrive | come | accompany	42	follow.01	be subsequent, temporally or spatially	0: causal agent | 1: thing following, coming after	T-Mobile	pricing details	NA	04	T - Mobile confirmed in an email that its business customers will have the opportunity to register for the device starting next week on April 29th , with availability and pricing details to <m> follow </m> at a later date .
cause | happen | instantiate 	38	force.01	impelled action	0: forcer | 1: impelled agent	NA	temblor.01	North Bay counties	NA	The temblor occurred at 9:27 a.m. , 13 miles east of Cloverdale and 2 miles southeast of The Geysers , where <m> geothermal forces </m> by more than 20 power plants are harnessed to provide energy for several North Bay counties .
head | anterior | start	43	front.01	be the front portion of a larger whole	1: entity that is the front portion		supply.01			Advanced Micro Devices Inc. shook up the personal computer industry by buying ATI Technologies Inc. for US $ 5.4-billion yesterday , opening up a new <m> front </m> in the battle with Intel Corp. to control the computer chip market .
acquire | obtain | take	43	gain.02	acquire	0: agent, entity acquiring something | 1: thing acquired	AMD	superior.01			Chipmaker AMD , hoping to <m> gain </m> a leg up on a resurgent rival Intel ( INTC ) , on July 24 ended months of speculation by saying it would buy graphics chipmaker ATI for about $ 5.4 billion .
wager | risk | chance	44	gamble.01	to take a risk for a chance at better returns, to take a risk, taking a risk with	0: gambler | 1: the stakes (money, etc.)	HP				The all-cash deal , announced Tuesday , represents HP 's biggest <m> gamble </m> under the leadership of Mark Hurd , who was hired as chief executive in March 2005 to turn around the maker of personal computers and printers .
play | gamble | bet	43	gaming.02	playing games	0: gamer | 1: type of game		video			We think not too much worse off than before the deal , and believe shares in the company remain a compelling way to play growth in <m> gaming- </m> and media-oriented computing .
send | deliver | carry	44	give.01	transfer	0: giver | 1: thing given	deal.01	7 percent of the technology services market			HP estimates that the deal , when completed , will <m> give </m> it about 7 percent of the technology services market , compared with IBM 's 10 percent share .
send | deliver | carry	43	give.01	transfer	0: giver | 1: thing given	deal.01	high-end graphics technology			The deal , which had been anticipated for over a year , <m> gives </m> AMD high-end graphics technology and bolsters the company 's strategy to overtake Intel as the dominant supplier of chips that power personal computers and other devices .
send | deliver | carry	40	give.01	transfer	0: giver | 1: thing given	Apple	revamp.01	San Francisco	NA	While Apple 's final keynote address at the annual MacWorld convention in San Francisco did n't contain the iPhone-related announcements many had hoped for , we were <m> given </m> all of the details on Apple 's latest revamp to their largest and most powerful MacBook Pro .
move | advance | progress	36	go.01	motion	1: entity in motion/goer	Warren Jeffs	NA	Texas	07	Jeffs will not be tried in Texas until he <m> goes </m> to court in Arizona .
leave | move | depart	45	go.02	self-directed motion, disapear or go away	0: goer | 1: journey	Scott Peterson	fish.01		24 December 2002	The bodies of Laci and Conner later washed up in the San Francisco Bay , near where Scott told police he had <m> gone </m> fishing the day his wife disappeared .
move | proceed | promote	42	go.06	proceed (with a variety of prepositions)	0: entity proceeding | 1: project	T-Mobile	announce.01		6 January 2009	On Monday , we reported on rumors that T-Mobile would release the RIM BlackBerry Curve 8900 on February 11 , and while the date has not been confirmed , the carrier did <m> go ahead </m> and make the official product announcement on Tuesday .
move | proceed | promote	39	go.06	proceed (with a variety of prepositions)	0: entity proceeding | 1: project	Matt Smith	legend	NA	NA	When Matt Smith stepped into Doctor Who 's title role as the 11th Doctor this weekend , he <m> went </m> from British character actor to potential entertainment legend .
become | release | be	42	go.08	become	1: object	T-Mobile USA	official	NA	NA	RIM and T-Mobile USA have finally <m> gone official </m> with the BlackBerry Curve 8900 , just one day after the smartphone was seen in one of T-Mo 's retail stores .
take | obtain | capture	43	grab.01	to capture, obtain, taking hold of	0: grabber | 1: entity grabbed	AMD	share of microserver market			AMD acquires SeaMicro to <m> grab share </m> of microserver market
expand | increase | widen	42	grow.01	increase,	0: [causer of growth - should be possible] | 1: thing grown	add.02	portfolio	NA	04	T - Mobile USA continues to add to its <m> growing </m> 4G LTE smartphone portfolio with the BlackBerry� Q10 .
expand | increase | widen	43	grow.01	increase,	0: [causer of growth - should be possible] | 1: thing grown		compute.01			We think not too much worse off than before the deal , and believe shares in the company remain a compelling way to play <m> growth </m> in gaming- and media-oriented computing .
culpable | responsible | accountable	45	guilty.01	guilty	1: perpetrator, guilty party		Christopher Kenyon Simpson			An Oklahoma man was found <m> guilty </m> Thursday on two first - degree murder charges for the deaths of an Arkansas woman and her fetus , according to Crawford County Deputy Prosecuting Attorney Jacob Howell .
culpable | responsible | accountable	36	guilty.01	guilty	1: perpetrator, guilty party	Warren Jeffs	assault.01	San Antonio	08	A San Antonio jury has found polygamist leader Warren Jeffs <m> guilty </m> on both sexual assault charges on Thursday .
give | relinquish | offer	39	hand_over.02	give	0: giver | 1: thing given	Tennant	screwdriver	NA	NA	Tennant has now been voted one of the most popular Doctors of all time and is <m> handing his sonic screwdriver over </m> to actor Matt Smith .
give | relinquish | offer	39	hand.01	give	0: giver | 1: thing given	NA	Matt Smith	NA	NA	On Saturday , the 26-year-old was <m> handed the keys </m> to the Tardis when he was unveiled as the 11th Doctor Who , replacing David Tennant , who steps down later this year .
occur | take_place | come_about	45	happen.01	occur, take place	1: event		affair.01			A jury found Scott Peterson guilty Friday of killing his pregnant wife , Laci , and their unborn child in the <m> saga </m> of suburban adultery and betrayal that transfixed much of the nation for nearly two years .
control | use | manipulate	38	harness.01	control	0: controller | 1: controlled	NA	power plants	North Bay	NA	The temblor occurred at 9:27 a.m. , 13 miles east of Cloverdale and 2 miles southeast of The Geysers , where geothermal forces by more than 20 power plants are <m> harnessed </m> to provide energy for several North Bay counties .
be | cause | make	42	have.01	auxiliary						Rumors have been floating for weeks now and we knew the 8900 would be coming sometime in early '09 and tonight T-Mobile <m> has </m> made it official .
own | possess | hold	44	have.03	own, possess	0: owner | 1: possession		HP or IBM on business card			The deal will be bad `` for anyone that does n't <m> have </m> H-P or IBM ( IBM Quote - Cramer on IBM - Stock Picks ) on their business card , '' said IDC analyst Bob Welch .
own | possess | hold	38	have.03	own, possess	0: owner | 1: possession	earthquake.02	depth of 1.4 miles	California Geysers	NA	The earthquake struck at about 7:30 a.m. and <m> had </m> a depth of 1.4 miles , according to the USGS .
own | possess | hold	39	have.03	own, possess	0: owner | 1: possession	Matt Smith	credit.01	NA	XX	Matt , who <m> has </m> stage and TV credits , will take up the role in 2010 .
own | possess | contain	40	have.03	own, possess	0: owner | 1: possession	17-inch MacBook Pro	eight-hour battery life	NA	XX	The only hardware release at Macworld Expo 2009 was a predictable unibody upgrade for the 17-inch MacBook Pro , which Apple reports will <m> have </m> an eight-hour battery life .
